1,12799.794
2,11398.356
3,10197.47
4,11421.598
5,2780.15
6,10207.112
7,6696.72
8,10176.394
9,10653.654
10,5527.394
11,12636.136
12,11275.558
13,12531.664
14,11230.632
15,4300.568
16,6518.638
17,11991.966
18,4766.534
19,11134.482
20,6497.188
21,10920.982
22,2215.894
23,4740.832
24,6040.768
25,10472.968
26,11197.87
27,5648.436
28,8009.744
29,4158.588
30,13155.826
31,9753.11
32,6777.088
33,8701.628
34,5082.26
35,3856.426
36,10380.204
37,12018.54
38,12383.718
39,13023.8
40,11480.602
41,11652.34
42,4385.134
43,8027.4
44,12878.736
45,3980.842
46,12188.802
47,5831.406
48,12129.78
49,2966.566
50,7190.516
51,5553.448
52,12976.482
53,12283.96
54,2772.118
55,7117.442
56,4767.412
57,13221.042
58,5879.292
59,9856.07
60,4140.414
61,10934.38
62,10644.834
63,12266.522
64,11485.714
65,4955.528
66,12147.89
67,4024.952
68,8233.014
69,12149.392
70,10044.648
71,12048.9
72,12578.48
73,9512.572
74,11881.174
75,11644.494
76,9867.92
77,12024.268
78,11730.686
79,11440.35
80,5859.19
81,12003.184
82,12558.82
83,5150.866
84,11599.126
85,7118.334
86,9555.228
87,11106.18
88,5600.908
89,10354.744
90,9128.438
91,7180.624
92,9847.75
93,12023.842
94,7303.846
95,9878.018
96,10618.228
97,10605.346
98,9019.936
99,8484.342
100,4931.916
